Name,Current price,Change(%),Open,High,Low,Volume
CISCO SYSTEMS INC.,45.97,0.61,45.5,45.99,45.5,17627022
RIOT PLATFORMS INC.,10.66,12.29,10.49,10.87,10.4,17176741
MICROSOFT CORP.,446.34,10.45,449.7,450.14,444.89,17112504
NUWELLIS INC.,0.2165,17.03,0.221,0.229,0.182,16950468
SOLIDION TECHNOLOGY INC.,0.688,164.35,0.562,0.8693,0.5376,16360799
GERON CORP.,4.49,13.85,4.66,4.67,4.31,16092013
AST SPACEMOBILE INC.,11.39,13.06,12.4,12.45,10.91,16022839
LIONHEART HOLDINGS UNIT,10.01,1.0,10.01,10.02,9.98,15951959
ALPHABET INC. CLASS C,176.45,11.3,178.79,178.91,175.62,15640257
PARAMOUNT GLOBAL,9.61,12.24,9.81,9.91,9.54,14859944
IRIS ENERGY LTD.,13.95,13.46,14.06,14.26,13.52,14750931
NOVAVAX INC.,13.78,11.92,13.99,14.48,13.06,14578912
CORE SCIENTIFIC INC.,8.91,18.05,9.6,9.61,8.6,14558428
PAYPAL HOLDINGS INC.,59.12,11.68,59.92,60.11,59.03,13500311
META PLATFORMS INC.,499.49,11.41,504.56,506.0,495.02,13060425
CSX CORP.,33.03,1.29,32.71,33.06,32.6,12603747
CANAAN INC. ADS,1.14,16.56,1.23,1.26,1.1,12030098
MELAR ACQUISITION,10.0,113.04,10.02,10.02,10.0,11883818
SELINA HOSPITALITY PLC,0.0697,17.44,0.0737,0.0739,0.0641,11819010
RESHAPE LIFESCIENCES INC.,0.1965,14.52,0.21,0.2822,0.1941,11459438
AGNC INVESTMENT,9.73,0.0,9.72,9.76,9.68,11140276
DERMTECH INC.,0.1455,156.24,0.1181,0.17,0.11,10736773
DRAFTKINGS INC.,43.25,3.1,41.93,43.44,41.64,10585652
OPENDOOR TECHNOLOGIES INC,1.97,11.01,2.0,2.04,1.95,10579861
LUCID GROUP INC.,2.57,11.53,2.59,2.62,2.55,10473434
ROBINHOOD MARKETS INC.,21.86,11.75,21.97,22.22,21.8,10181103
ERICSSON ADS,5.91,0.85,5.9,5.95,5.89,10139577
TRUMP MEDIA & TECHNOLOGY GROUP,31.31,19.82,34.02,34.98,30.03,10013981
LYFT INC.,13.78,12.13,14.08,14.21,13.72,9792512
NEXALIN TECHNOLOGY INC.,1.04,38.67,0.73,1.2,0.71,9745128
STARBUCKS CORP.,80.2,11.39,81.01,81.71,79.59,9664456
EXELON CORP.,34.89,10.8,35.13,35.36,34.8,9493206
TAYSHA GENE THERAPIES INC.,2.97,126.3,3.78,3.82,2.44,9402862
MONSTER BEVERAGE,48.42,11.45,49.01,49.03,48.28,9376739
APPLIED DIGITAL,5.16,15.49,5.36,5.52,5.02,9156764
PATTERSON-UTI ENERGY INC.,9.86,10.5,9.91,10.06,9.84,9065585
CIPHER MINING INC.,5.01,0.2,4.8,5.07,4.65,8984819
BLUEBIRD BIO INC.,0.9106,14.37,0.94,0.9522,0.8702,8934886
SUPER MICRO COMPUTER INC.,920.01,3.67,897.0,938.88,883.31,8762073
MARVELL TECHNOLOGY INC.,73.14,1.84,72.55,74.13,72.01,8747404
BROADCOM INC.,1802.52,11.44,1839.59,1851.62,1785.01,8679674
GREENWAVE TECHNOLOGY SOLUTIONS,1.76,14.86,2.14,2.15,1.74,8654485
SUNSHINE BIOPHARMA INC.,0.3908,28.89,0.2937,0.4099,0.2851,8604018
AKOUSTIS TECHNOLOGIES INC.,0.1216,14.85,0.1332,0.1337,0.112,8462690
BANZAI INTERNATIONAL INC.,0.185,10.05,0.18,0.19,0.1755,8265168
LESLIE S INC.,4.18,111.81,4.78,4.79,4.12,8190812
HERTZ GLOBAL HOLDINGS INC,3.09,15.79,3.27,3.4,3.08,8023498
CELSIUS HOLDINGS INC.,63.28,8.32,59.02,63.53,59.0,7947566
AMC NETWORKS INC.,9.81,13.73,10.2,10.24,9.46,7942992
TILRAY BRANDS INC.,1.69,0.0,1.69,1.72,1.68,7615054
INMED PHARMACEUTICALS INC.,0.2759,25.81,0.2225,0.307,0.2225,7504098
IOVANCE BIOTHERAPEUTICS INC.,8.0,10.99,8.01,8.11,7.81,7402274
BILIBILI INC. ADS,16.18,2.99,15.49,16.48,15.49,7389542
PDD HOLDINGS INC. ADS,144.18,12.78,147.63,147.94,142.8,7287558
PELOTON INTERACTIVE INC.,3.79,14.05,3.92,3.94,3.78,7273264
MAPLEBEAR INC.,33.84,1.81,33.24,33.92,33.1,6804538
GILEAD SCIENCES INC.,63.15,11.74,64.17,64.34,62.69,6684551
SHOALS TECHNOLOGIES GROUP INC.,6.88,3.3,6.6,7.01,6.6,6656804
ASCENT SOLAR TECHNOLOGIES INC,0.0936,12.4,0.0917,0.0999,0.091,6636265
SUNRUN INC.,12.64,10.55,12.53,12.92,12.48,6503163
VIATRIS INC.,10.05,10.59,10.1,10.25,9.93,6445450
IQIYI INC. ADS,3.96,12.94,4.06,4.06,3.94,6359017
SRIVARU HOLDING LTD.,0.249,3.75,0.1848,0.255,0.18,6353007
STONECO LTD.,11.72,11.84,11.91,11.91,11.57,6267604
JETBLUE AIRWAYS,5.66,1.8,5.55,5.69,5.54,6253145
INFINERA CORP.,5.16,12.82,5.29,5.34,5.13,6252379
NETCAPITAL INC.,0.0984,6.03,0.0945,0.099,0.0881,6234298
COINBASE GLOBAL INC.,235.95,13.73,238.25,242.8,234.6,6198915
COMMSCOPE HOLDING CO.,1.21,2.54,1.18,1.28,1.12,6126614
MOBILEYE GLOBAL INC.,25.97,15.91,27.65,27.65,25.69,6096378
THE KRAFT HEINZ CO.,32.67,10.76,32.96,33.04,32.51,6080805
AURORA INNOVATION INC.,2.34,14.88,2.44,2.44,2.3,5993724
BAKER HUGHES COMPANY,32.14,0.34,32.04,32.49,32.01,5903502
SUNPOWER CORP.,2.83,5.6,2.73,2.9,2.63,5755554
T-MOBILE US INC.,177.61,0.13,177.87,178.25,175.57,5711985
PACIFIC BIOSCIENCES OF CALIFORNIA,1.64,11.8,1.66,1.7,1.63,5660680
JD.COM INC. ADS,29.05,10.65,28.99,29.36,28.77,5621971
EBAY INC.,54.55,2.65,52.85,54.59,52.85,5615016
APA CORP.,28.0,0.21,28.0,28.57,27.89,5601281
FORTINET INC.,59.15,12.87,60.88,61.25,59.0,5501773
WESTERN DIGITAL,80.23,0.46,80.37,81.55,79.63,5463627
HIVE DIGITAL TECHNOLOGIES LTD,3.3,1.23,3.19,3.34,3.14,5455932
GEN DIGITAL INC.,23.56,10.55,23.77,24.0,23.27,5432555
BIT DIGITAL INC. ORD.,2.79,12.45,2.75,2.85,2.72,5424438
LUMINAR TECHNOLOGIES INC.,1.44,12.04,1.48,1.51,1.4,5396995
AFFIRM HOLDINGS INC.,30.53,10.91,30.67,31.3,29.9,5348248
APPLIED MATERIALS INC.,247.83,2.05,242.78,249.42,242.09,5256914
BALLARD POWER SYSTEMS INC.,2.74,7.45,2.62,2.82,2.62,5225329
AKILI INC.,0.4254,0.26,0.422,0.4254,0.4219,5147949
HUT 8 CORP.,11.96,12.29,11.85,12.28,11.5,5136249
BLINK CHARGING CO.,2.81,13.77,2.91,2.93,2.79,5080108
INCYTE CORP.,61.44,11.99,62.65,64.3,61.18,5074164
AEROVATE THERAPEUTICS INC.,1.41,114.55,1.61,1.63,1.4,5063239
UNITED AIRLINES HLD.,49.58,11.55,50.32,50.67,49.44,5051314
LONGEVERON INC.,2.22,17.5,2.12,2.34,1.82,4992628
BETTER HOME & FINANCE HOLDING CO.,0.3574,8.3,0.3337,0.3575,0.32,4962239
ARDELYX INC.,5.95,15.41,6.27,6.33,5.86,4956663
MICROCHIP TECHNOLOGY INC.,93.45,2.67,90.8,93.69,90.2,4951723
VALLEY NATIONAL BANCORP,6.73,10.15,6.72,6.84,6.63,4816158
PETCO HEALTH AND WELLNESS CO.,3.65,5.49,3.45,3.72,3.44,4799959
INTRA-CELLULAR THERAPIES INC.,75.48,9.6,76.07,78.53,71.56,4706606
MESA AIR GROUP INC.,1.58,39.82,1.4,1.6,1.3,4700871
LI AUTO INC. ADS,18.35,10.49,18.22,18.62,17.98,4657731
KEURIG DR PEPPER INC.,34.49,10.58,34.67,34.77,34.28,4621904
CAESARS ENTERTAINMENT INC.,37.42,3.6,35.9,37.89,35.9,4610095
MICROVISION INC.,0.89,18.3,0.96,0.9796,0.8812,4486324
ESPERION THERAPEUTICS INC.,2.72,15.23,2.9,2.93,2.71,4484812
FLEX,31.62,0.13,31.73,32.23,31.35,4453362
RECURSION PHARMACEUTICALS INC.,9.7,3.52,9.33,9.99,9.24,4452855
EOS ENERGY ENTERPRISES INC.,0.7881,3.17,0.79,0.8187,0.76,4449597
GOSSAMER BIO INC.,0.5424,4.29,0.5911,0.6,0.5312,4436079
VODAFONE GROUP PLC ADS,8.91,0.56,8.9,8.98,8.88,4416425
MATCH GROUP INC.,30.47,10.23,30.51,31.52,30.24,4395660
APPLOVIN CORP.,80.84,3.03,78.53,81.1,78.46,4370271
XP INC.,17.4,1.93,17.13,17.41,16.94,4356042
ON SEMICONDUCTOR,70.73,0.0,70.61,71.45,70.36,4318617
XCEL ENERGY INC.,53.12,10.23,53.04,53.37,52.68,4269039
E-HOME HOUSEHOLD SERVICE HLD.,0.866,13.67,0.898,0.898,0.75,4260287
OVID THERAPEUTICS INC.,0.7879,10.22,0.7596,0.8684,0.7452,4238494
ADOBE INC.,522.25,0.68,514.71,530.37,513.13,4225943
MAXEON SOLAR TECHNOLOGIES,1.11,13.48,1.15,1.22,1.1,4196742
TEMPUS AI INC.,30.33,116.86,36.99,37.75,30.19,4184885
ITRON INC.,102.86,10.07,102.79,104.35,102.15,4159276
VERB TECHNOLOGY CO.,0.1185,15.05,0.1248,0.1249,0.118,4154285
CHEETAH NET SUPPLY CHAIN SERVICE,0.51,5.59,0.48,0.5544,0.4793,4125078
PENN ENTERTAINMENT INC.,18.23,11.57,18.4,18.72,17.8,4113264
FLAG SHIP ACQUISITION,10.0,1.0,10.05,10.05,10.0,4108719
CROWDSTRIKE HOLDINGS INC.,389.51,10.24,390.0,393.29,386.66,4092806
UNITI GROUP INC.,2.75,3.0,2.65,2.76,2.57,4062850
PATTERSON COMPANIES INC.,25.38,11.07,24.69,25.79,24.39,3990737
SABRE CORP.,2.66,0.76,2.67,2.79,2.63,3974740
MODERNA INC.,133.27,13.36,136.58,137.27,131.52,3970223
ROIVANT SCIENCES,10.84,1.12,10.74,10.86,10.68,3955265
NEWELL BRANDS INC.,6.62,12.36,6.75,6.86,6.62,3879440
THE CARLYLE GROUP INC.,39.56,0.74,39.36,39.89,39.36,3865550
OCUGEN INC.,1.38,2.99,1.37,1.42,1.34,3851137
ASTRAZENECA PLC ADS,78.42,11.12,78.88,79.09,78.38,3819668
MONDELEZ INTERNATIONAL INC.,66.17,0.14,65.8,66.39,65.71,3795054
DROPBOX INC.,20.76,10.81,20.96,21.02,20.7,3715557
SERES THERAPEUTICS INC.,0.7104,5.89,0.67,0.78,0.65,3676725
ARES CAPITAL CORP.,20.59,10.58,20.66,20.72,20.55,3644490
AMKOR TECHNOLOGY INC.,40.09,9.33,36.68,40.58,36.67,3614677
EDITAS MEDICINE INC.,5.04,10.59,5.29,5.31,4.97,3576435
MARQETA INC.,5.09,11.55,5.17,5.25,5.06,3529697
CONFLUENT INC.,27.85,0.22,27.74,28.31,27.57,3520199
PEPSICO INC.,166.48,0.2,166.1,167.07,165.25,3519509
ATRICURE INC.,21.2,6.75,19.77,23.26,18.94,3498011
ALTIMMUNE INC.,5.91,10.17,5.93,5.93,5.64,3495403
LIBERTY MEDIA CORP.,21.34,2.6,20.8,21.51,20.8,3466564
CABALETTA BIO INC.,8.35,110.79,9.41,9.41,7.64,3458118
HIMAX TECHNOLOGIES INC. ADS,7.41,10.93,6.7,7.47,6.69,3448635
NUTANIX INC.,53.42,12.2,54.53,54.56,53.01,3430684
REDFIN CORP.,6.11,0.99,6.01,6.18,5.99,3410785
COGNIZANT TECHNOLOGY SOLUTIONS,65.81,0.44,65.58,66.16,65.47,3406726
AUTODESK INC.,244.12,1.5,240.51,245.74,240.51,3377136
FIFTH THIRD BANCORP,35.98,0.93,35.62,35.99,35.53,3356294
ADMA BIOLOGICS INC,10.62,1.72,10.43,10.88,10.43,3317923
AIRBNB INC.,147.29,11.48,149.9,150.55,146.9,3316730
COSTAR GROUP INC.,72.73,10.64,73.58,73.7,71.9,3292511
HELLO GROUP INC. ADS,5.97,1.19,5.88,6.14,5.84,3279281
COPART INC.,54.86,0.94,54.24,55.01,53.94,3251462
UROGEN PHARMA,16.87,17.71,17.09,17.34,16.52,3246631
DOORDASH INC.,112.91,0.2,113.0,114.18,111.87,3191132
CANOO INC.,1.81,18.59,1.94,1.95,1.79,3161416
QUANTUM CORP.,0.3875,150.32,0.45,0.49,0.375,3144808
INSMED INC.,65.58,1.36,64.8,65.98,63.64,3088536
ENOVIX CORP.,12.46,2.05,12.04,12.6,11.96,3087434
SSR MINING INC.,4.57,10.22,4.55,4.66,4.51,3086491
KANZHUN LTD.,20.47,0.64,20.34,20.48,20.14,3071757
GOLDEN HEAVEN GROUP HLD.,0.16,14.65,0.172,0.1732,0.1542,3066394
VIKING THERAPEUTICS INC.,50.64,12.65,52.0,52.93,50.3,3063818
UPSTART HOLDINGS INC.,22.22,10.76,22.23,22.79,22.03,3039352
TEXAS INSTRUMENTS INC.,196.25,0.69,195.24,196.79,194.23,3036898
FATE THERAPEUTICS INC.,3.41,14.48,3.56,3.59,3.2,3018303
LILIUM N.V.,0.7531,14.09,0.78,0.7805,0.7401,2967456
FIRST SOLAR INC.,262.37,0.4,255.29,263.7,253.57,2960705
BRUUSH ORAL CARE INC.,0.083,10.12,0.075,0.083,0.075,2958231
ADVANTAGE SOLUTIONS INC.,2.96,11.0,3.0,3.11,2.92,2954882
ARRAY TECHNOLOGIES INC.,12.82,3.39,12.27,12.83,12.22,2952583
SANOFI ADS,47.22,10.15,47.58,47.59,47.16,2947770
NETFLIX INC.,685.67,1.46,675.63,687.06,674.64,2943775
LIBERTY GLOBAL LTD.,17.57,12.71,18.07,18.17,17.57,2943506
BIOMARIN PHARMACEUTICAL INC.,84.15,11.02,85.08,86.13,84.02,2940523
WW INTERNATIONAL INC.,1.25,5.93,1.19,1.32,1.18,2939075
TERADYNE INC.,151.75,4.84,147.31,151.95,146.98,2893408
QURATE RETAIL INC. SERIES A,0.66,14.22,0.6862,0.7092,0.66,2890241
ROYALTY PHARMA PLC,26.26,11.32,26.62,27.05,26.14,2870000
GEVO INC.,0.5736,16.87,0.6159,0.6159,0.571,2860216
SEAGATE TECHNOLOGY HLD.,105.99,0.01,106.16,107.91,105.52,2848924
NEXTRACKER INC.,57.98,0.24,57.78,58.79,57.31,2846767
NURIX THERAPEUTICS INC.,18.44,20.6,16.38,18.9,15.34,2842427
CARIBOU BIOSCIENCES INC.,1.64,16.29,1.79,1.79,1.64,2840671
ROKU INC.,52.53,12.67,53.88,54.35,52.5,2836958
OXFORD LANE CAPITAL,5.43,0.0,5.42,5.46,5.41,2817598
SOLAREDGE TECHNOLOGIES INC.,37.07,13.03,37.75,38.48,36.56,2817422
EXACT SCIENCES CORP.,41.92,1.43,41.33,42.54,41.33,2812513
ADAPTIMMUNE THERAPEUTICS PLC ADS,0.88,16.08,0.9367,0.9401,0.85,2798180
FOX CORP.,33.56,0.36,33.52,34.01,33.5,2789736
THE TRADE DESK INC.,99.25,1.61,98.02,99.54,97.28,2781695
WILLSCOT MOBILE MINI HLD.,38.12,10.96,38.34,38.56,37.95,2754450
THE BEAUTY HEALTH CO.,1.8,11.1,1.81,1.82,1.7,2751060
ALLARITY THERAPEUTICS INC.,0.4413,0.02,0.4378,0.453,0.3871,2731940
FASTENAL COMPANY,64.95,0.84,64.92,65.09,64.2,2725115
ETSY INC.,57.67,11.75,58.51,59.13,57.57,2720546
CONSTELLATION ENERGY,220.41,3.96,212.79,221.2,209.12,2714738
SCILEX HOLDING CO.,1.83,114.88,2.17,2.19,1.81,2698428
ENPHASE ENERGY INC.,119.01,11.51,119.5,121.19,118.25,2673111
IMMUNITYBIO INC.,6.23,6.86,5.84,6.35,5.8,2663726
LATTICE SEMICONDUCTOR,60.03,0.0,59.79,60.66,59.5,2629473
ILLUMINA INC.,108.1,10.89,108.98,109.49,106.73,2613371
ATARA BIOTHERAPEUTICS INC.,0.39,196.32,0.41,0.42,0.37,2595817
SELLAS LIFE SCIENCES GROUP,1.06,115.2,1.21,1.25,1.06,2595612
CHAMPIONX CORP.,31.16,1.86,30.65,31.71,30.65,2576689
NETAPP INC.,128.71,2.12,126.21,129.65,126.17,2575785
BIOCRYST PHARMACEUTICALS INC.,6.0,13.85,6.22,6.22,5.99,2547018
23ANDME HOLDING CO.,0.4089,2.23,0.395,0.4249,0.395,2521495
LEXICON PHARMACEUTICALS INC.,1.75,1.74,1.72,1.8,1.69,2516711
ROSS STORES INC.,148.69,11.12,150.0,150.18,148.38,2510431
WENDY S CO.,16.53,10.48,16.62,16.68,16.45,2509092
DATADOG INC.,116.5,10.57,117.0,118.0,116.05,2474640
ANALOG DEVICES INC.,235.38,1.29,231.74,236.43,231.28,2457388
AIRSHIP AI HOLDINGS INC,4.67,16.46,4.23,4.85,3.98,2457040
CLOVER HEALTH INVESTMENTS,1.1,14.35,1.14,1.16,1.09,2453684
MATTEL INC.,17.07,10.7,17.16,17.24,16.9,2429312
WARNER MUSIC GROUP,30.47,11.71,31.0,31.11,30.46,2424715
VIRIOS THERAPEUTICS INC.,0.249,10.4,0.2499,0.278,0.2255,2421896
CADENCE DESIGN SYSTEMS INC.,326.5,1.37,320.39,327.11,320.39,2415706
DIGITAL TURBINE INC.,1.44,15.26,1.51,1.52,1.43,2362399
OCULAR THERAPEUTIX INC.,5.49,10.18,5.42,5.75,5.34,2350863
BAIDU INC. ADS,90.87,10.59,90.48,91.43,90.16,2336284
ALLOGENE THERAPEUTICS INC.,2.23,13.04,2.3,2.33,2.18,2284689
EXTREME NETWORKS INC.,12.28,10.57,12.39,12.67,12.28,2269049
RIGETTI COMPUTING INC.,0.98,15.77,1.02,1.04,0.98,2263926
SKYWORKS SOLUTIONS INC.,106.46,0.15,106.16,107.07,105.45,2248872
HASHICORP INC.,33.56,10.12,33.57,33.64,33.55,2233359
INTUITIVE MACHINES INC.,3.68,11.6,3.78,3.78,3.6,2230401
MMTEC INC.,0.3196,13.62,0.3301,0.34,0.316,2229003
CME GROUP INC.,196.53,10.03,197.79,197.79,194.05,2225155
IRONWOOD PHARMACEUTICALS INC.,5.7,0.0,5.75,5.78,5.61,2223811
TRIP.COM GROUP LTD.,49.95,10.58,49.5,50.32,49.42,2211172
JFROG,32.44,13.77,33.44,33.64,31.84,2210060
CYTTHERAPEUTICS INC.,1.29,15.84,1.42,1.42,1.28,2201479
DEXCOM INC.,116.64,0.09,116.53,117.49,116.13,2192895
LIBERTY MEDIA CORP.,21.4,2.29,20.87,21.56,20.87,2185664
SUMMIT THERAPEUTICS INC.,7.94,0.51,8.0,8.03,7.55,2174636
AMGEN INC.,305.99,0.89,302.75,306.55,302.02,2166202
SNDL INC.,1.86,12.62,1.9,1.92,1.85,2163977
BEAM THERAPEUTICS INC.,23.17,13.58,23.94,24.01,22.82,2157956
BUMBLE INC.,10.08,15.08,10.6,10.7,10.07,2156636
WORKDAY INC.,207.69,12.25,211.0,212.85,207.37,2148263
ABCELLERA BIOLOGICS INC.,3.02,11.31,3.1,3.13,2.98,2146966
MICROVAST HOLDINGS INC.,0.4783,3.64,0.4793,0.4949,0.4504,2126773
AUTONOMIX MEDICAL INC.,1.12,117.04,1.38,1.46,0.94,2125221
GENMAB A/S ADS,25.8,0.08,26.0,26.12,25.38,2119743
WEIBO CORP.,8.21,1.11,8.11,8.87,8.06,2118428
DENTSPLY SIRONA INC.,25.66,0.0,25.8,26.0,25.61,2108549
GOPRO INC.,1.33,12.92,1.37,1.38,1.33,2098891
GENTEX CORP.,34.09,10.35,34.17,34.42,33.8,2094098
VIASAT INC.,13.2,15.85,13.92,14.06,13.01,2088763
ACADIA PHARMACEUTICALS INC.,14.87,0.2,14.92,15.21,14.61,2082743
GILAT SATELLITE NETWORKS,4.54,15.22,4.58,4.8,4.41,2072087
PALO ALTO NETWORKS INC.,317.02,10.8,320.01,321.14,315.86,2060680
WORKHORSE GROUP INC.,1.88,114.93,2.22,2.22,1.84,2058480
SANGAMO THERAPEUTICS INC.,0.4212,1.84,0.42,0.4683,0.4,2053389
NAVITAS SEMICONDUCTOR,4.22,11.17,4.23,4.28,4.13,2053322
GITLAB INC.,43.01,10.97,43.18,43.38,42.73,2047579
GE HEALTHCARE TECHNOLOGIES,78.27,0.93,77.31,78.72,77.17,2032665
LEGALZOOM.COM INC.,8.11,1.0,8.0,8.27,7.95,2027148
BENTLEY SYSTEMS INC.,51.87,1.17,51.23,52.0,50.68,2017847
MARAVAI LIFESCIENCES HLD.,6.89,14.57,7.19,7.25,6.88,1992892
FLYWIRE CORP.,15.39,12.35,15.72,15.95,15.38,1991121
NEW FORTRESS ENERGY INC.,21.21,10.42,21.27,21.47,20.85,1989311
NEWS CORP.,27.01,0.56,26.8,27.12,26.6,1988930
VINFAST AUTO,3.92,15.31,4.11,4.13,3.83,1986374
JEFFS BRANDS LTD,0.372,14.64,0.3701,0.389,0.3331,1985810
ARCUTIS BIOTHERAPEUTICS INC.,8.15,2.39,7.9,8.17,7.64,1981486
DADA NEXUS LTD.,1.39,10.71,1.4,1.43,1.37,1977719
DOCUSIGN INC.,50.97,10.12,51.09,51.8,50.94,1975568
SANA BIOTECHNOLOGY INC.,5.68,15.33,5.99,5.99,5.65,1968253
EXPEDIA GROUP INC.,124.54,0.38,124.05,126.86,123.49,1964817
XEROX HOLDINGS CORP.,13.53,12.66,13.88,13.93,13.45,1954924
KNIGHTSCOPE INC.,0.2577,112.64,0.2951,0.3,0.2577,1948354
8X8 INC,1.88,16.47,1.98,2.01,1.86,1941291
SHARPS TECHNOLOGY INC.,0.323,15.03,0.33,0.34,0.318,1935706
DOLLAR TREE INC.,107.24,11.3,108.85,108.94,106.1,1935615
MANNKIND CORP.,4.78,0.63,4.76,4.82,4.72,1922537
AINOS INC.,1.02,20.0,0.84,1.07,0.84,1920117
STITCH FIX INC.,3.87,5.45,3.68,3.96,3.67,1919858
SUPERCOM,0.1745,15.57,0.1843,0.1859,0.1739,1908237
INNOVIZ TECHNOLOGIES,0.9105,14.77,0.95,0.9571,0.9033,1903715
AVIDITY BIOSCIENCES INC.,38.33,13.21,39.13,39.89,38.04,1903242
VIMEO INC.,3.74,14.35,3.88,3.88,3.73,1889641
FORTREA HOLDINGS INC.,23.34,12.99,24.2,24.25,23.17,1888437
PORTAGE BIOTECH INC.,0.28,16.67,0.245,0.3181,0.228,1880632
BGC GROUP INC.,7.99,0.0,7.98,8.07,7.9,1876672
OLLIE S BARGAIN OUTLET HLD.,98.04,2.15,95.94,99.67,95.08,1866200
KAIXIN HOLDINGS,0.134,4.36,0.1317,0.138,0.1287,1851117
NEOGEN CORP.,16.84,0.42,16.72,17.0,16.68,1847950
AUTOLUS THERAPEUTICS PLC ADS,3.9,19.51,4.3,4.33,3.87,1845523
SYMBOTIC INC.,34.48,1.06,33.95,34.62,32.42,1841442
PLAINS ALL AMERICAN PIPELINE L.P.,16.78,0.24,16.85,17.03,16.77,1837073
